2016-09-03 16:36:02 Budget fixing started.
2016-09-03 16:36:02 Budget reset successfully for 2016-6
2016-09-03 16:36:03 2016-6 tickets: Page 1: 10
2016-09-03 16:36:03 2016-6 budget updated for TR: 167, TR Total: 1951.8204, SC: 26
2016-09-03 16:36:03 2016-6 budget updated for TR: 169, TR Total: 3475.1782, SC: 26
2016-09-03 16:36:03 2016-6 budget updated for TR: 170, TR Total: 2059.5588, SC: 28
2016-09-03 16:36:03 2016-6 budget updated for TR: 171, TR Total: 2419.6938, SC: 28
2016-09-03 16:36:03 2016-6 tickets: Page 16: 10
2016-09-03 16:36:03 2016-6 budget updated for TR: 172, TR Total: 2904.4848, SC: 28
2016-09-03 16:36:03 2016-6 budget updated for TR: 173, TR Total: 16939.9872, SC: 28
2016-09-03 16:36:03 2016-6 budget updated for TR: 174, TR Total: 2904.4848, SC: 28
2016-09-03 16:36:03 2016-6 budget updated for TR: 175, TR Total: 2684.1214, SC: 28
2016-09-03 16:36:03 2016-6 budget updated for TR: 176, TR Total: 2904.4848, SC: 28
2016-09-03 16:36:03 2016-6 budget updated for TR: 187, TR Total: 986.3672, SC: 32
2016-09-03 16:36:03 2016-6 budget updated for TR: 186, TR Total: 3205.3234, SC: 32
2016-09-03 16:36:03 2016-6 budget updated for TR: 194, TR Total: 5121.3820, SC: 21
2016-09-03 16:36:03 2016-6 budget updated for TR: 197, TR Total: 3343.3248, SC: 32
2016-09-03 16:36:03 2016-6 budget updated for TR: 199, TR Total: 1177.5328, SC: 26
2016-09-03 16:36:03 2016-6 tickets: Page 17: 10
2016-09-03 16:36:03 2016-6 budget updated for TR: 201, TR Total: 151531.6130, SC: 26
2016-09-03 16:36:03 2016-6 budget updated for TR: 202, TR Total: 1469.7218, SC: 32
2016-09-03 16:36:03 2016-6 budget updated for TR: 203, TR Total: 4396.1513, SC: 32
2016-09-03 16:36:03 2016-6 budget updated for TR: 205, TR Total: 1469.7218, SC: 32
2016-09-03 16:36:03 2016-6 budget updated for TR: 206, TR Total: 1469.7218, SC: 32
2016-09-03 16:36:03 2016-6 budget updated for TR: 207, TR Total: 4362.2074, SC: 26
2016-09-03 16:36:03 2016-6 budget updated for TR: 208, TR Total: 1177.5328, SC: 26
2016-09-03 16:36:03 2016-6 budget updated for TR: 209, TR Total: 7966.6738, SC: 32
2016-09-03 16:36:03 2016-6 budget updated for TR: 210, TR Total: 5264.7126, SC: 21
2016-09-03 16:36:03 2016-6 budget updated for TR: 211, TR Total: 2801.1666, SC: 21
2016-09-03 16:36:03 2016-6 tickets: Page 18: 10
2016-09-03 16:36:03 2016-6 budget updated for TR: 212, TR Total: 10602.3956, SC: 21
2016-09-03 16:36:03 2016-6 budget updated for TR: 213, TR Total: 1473.4954, SC: 21
2016-09-03 16:36:03 2016-6 budget updated for TR: 214, TR Total: 7728.2586, SC: 21
2016-09-03 16:36:03 2016-6 budget updated for TR: 215, TR Total: 5264.7126, SC: 21
2016-09-03 16:36:03 2016-6 budget updated for TR: 216, TR Total: 2059.8032, SC: 21
2016-09-03 16:36:03 2016-6 budget updated for TR: 217, TR Total: 4443.5306, SC: 21
2016-09-03 16:36:03 2016-6 budget updated for TR: 218, TR Total: 1351.4364, SC: 21
2016-09-03 16:36:03 2016-6 budget updated for TR: 219, TR Total: 1473.4954, SC: 21
2016-09-03 16:36:03 2016-6 budget updated for TR: 220, TR Total: 2073.9642, SC: 21
2016-09-03 16:36:03 2016-6 budget updated for TR: 221, TR Total: 2073.9642, SC: 21
2016-09-03 16:36:03 2016-6 tickets: Page 19: 10
2016-09-03 16:36:03 2016-6 budget updated for TR: 223, TR Total: 1473.4954, SC: 21
2016-09-03 16:36:03 2016-6 budget updated for TR: 226, TR Total: 5121.3820, SC: 21
2016-09-03 16:36:03 2016-6 budget updated for TR: 227, TR Total: 1351.4364, SC: 21
2016-09-03 16:36:03 2016-6 budget updated for TR: 229, TR Total: 3377.6158, SC: 21
2016-09-03 16:36:03 2016-6 budget updated for TR: 230, TR Total: 1180.5538, SC: 21
2016-09-03 16:36:03 2016-6 budget updated for TR: 231, TR Total: 1473.4954, SC: 21
2016-09-03 16:36:03 2016-6 budget updated for TR: 232, TR Total: 6675.8952, SC: 26
2016-09-03 16:36:03 2016-6 budget updated for TR: 233, TR Total: 2954.6228, SC: 32
2016-09-03 16:36:03 2016-6 budget updated for TR: 234, TR Total: 1469.7218, SC: 27
2016-09-03 16:36:03 2016-6 budget updated for TR: 235, TR Total: 1177.5328, SC: 27
2016-09-03 16:36:03 2016-6 tickets: Page 20: 10
2016-09-03 16:36:03 2016-6 budget updated for TR: 236, TR Total: 3063.8608, SC: 27
2016-09-03 16:36:03 2016-6 budget updated for TR: 237, TR Total: 1177.5328, SC: 27
2016-09-03 16:36:03 2016-6 budget updated for TR: 238, TR Total: 478.8264, SC: 27
2016-09-03 16:36:03 2016-6 budget updated for TR: 239, TR Total: 6239.0858, SC: 27
